marketplace,pct_x,metadata_score
skills_sh,26.599749,32.0
skills_sh,26.72522,32.0
skills_sh,26.85069,32.0
skills_sh,26.976161,32.0
skills_sh,27.101631,32.0
skills_sh,27.227102,32.0
skills_sh,27.352572,32.0
skills_sh,27.478043,32.0
skills_sh,27.603513,32.0
skills_sh,27.728984,32.5
skills_sh,27.854454,32.5
skills_sh,27.979925,32.5
skills_sh,28.105395,32.5
skills_sh,28.230866,32.5
skills_sh,28.356336,33.0
skills_sh,28.481807,33.0
skills_sh,28.607277,33.0
skills_sh,28.732748,33.0
skills_sh,28.858218,33.0
skills_sh,28.983689,33.0
skills_sh,29.109159,33.0
skills_sh,29.23463,33.0
skills_sh,29.3601,33.0
skills_sh,29.485571,33.0
skills_sh,29.611041,33.0
skills_sh,29.736512,33.0
skills_sh,29.861982,33.0
skills_sh,29.987453,33.0
skills_sh,30.112923,33.75
skills_sh,30.238394,34.25
skills_sh,30.363864,34.25
skills_sh,30.489335,34.25
skills_sh,30.614806,34.25
skills_sh,30.740276,34.25
skills_sh,30.865747,34.25
skills_sh,30.991217,34.25
skills_sh,31.116688,34.25
skills_sh,31.242158,34.25
skills_sh,31.367629,34.25
skills_sh,31.493099,34.25
skills_sh,31.61857,34.25
skills_sh,31.74404,34.25
skills_sh,31.869511,34.25
skills_sh,31.994981,34.25
skills_sh,32.120452,34.25
skills_sh,32.245922,34.25
skills_sh,32.371393,34.25
skills_sh,32.496863,34.25
skills_sh,32.622334,34.25
skills_sh,32.747804,34.25
skills_sh,32.873275,34.25
skills_sh,32.998745,34.25
skills_sh,33.124216,34.25
skills_sh,33.249686,34.25
skills_sh,33.375157,34.25
skills_sh,33.500627,34.25
skills_sh,33.626098,34.25
skills_sh,33.751568,34.25
skills_sh,33.877039,34.25
skills_sh,34.002509,34.25
skills_sh,34.12798,34.25
skills_sh,34.25345,34.25
skills_sh,34.378921,34.25
skills_sh,34.504391,34.25
skills_sh,34.629862,34.25
skills_sh,34.755332,34.25
skills_sh,34.880803,34.5
skills_sh,35.006274,34.5
skills_sh,35.131744,34.75
skills_sh,35.257215,34.75
skills_sh,35.382685,34.75
skills_sh,35.508156,35.25
skills_sh,35.633626,35.25
skills_sh,35.759097,35.25
skills_sh,35.884567,35.25
skills_sh,36.010038,35.25
skills_sh,36.135508,35.25
skills_sh,36.260979,35.25
skills_sh,36.386449,35.25
skills_sh,36.51192,35.25
skills_sh,36.63739,35.25
skills_sh,36.762861,35.25
skills_sh,36.888331,35.25
skills_sh,37.013802,35.25
skills_sh,37.139272,35.25
skills_sh,37.264743,35.25
skills_sh,37.390213,35.25
skills_sh,37.515684,35.25
skills_sh,37.641154,35.25
skills_sh,37.766625,35.25
skills_sh,37.892095,35.25
skills_sh,38.017566,35.25
skills_sh,38.143036,35.25
skills_sh,38.268507,35.25
skills_sh,38.393977,35.25
skills_sh,38.519448,35.25
skills_sh,38.644918,35.25
skills_sh,38.770389,35.25
skills_sh,38.895859,35.25
skills_sh,39.02133,35.25
skills_sh,39.146801,35.25
skills_sh,39.272271,35.25
skills_sh,39.397742,35.25
skills_sh,39.523212,35.25
skills_sh,39.648683,35.25
skills_sh,39.774153,35.25
skills_sh,39.899624,35.25
skills_sh,40.025094,35.25
skills_sh,40.150565,35.25
skills_sh,40.276035,36.0
skills_sh,40.401506,36.0
skills_sh,40.526976,36.0
skills_sh,40.652447,36.0
skills_sh,40.777917,36.25
skills_sh,40.903388,36.25
skills_sh,41.028858,36.25
skills_sh,41.154329,36.25
skills_sh,41.279799,36.25
skills_sh,41.40527,36.25
skills_sh,41.53074,36.25
skills_sh,41.656211,36.25
skills_sh,41.781681,36.25
skills_sh,41.907152,36.25
skills_sh,42.032622,36.25
skills_sh,42.158093,36.25
skills_sh,42.283563,36.25
skills_sh,42.409034,36.25
skills_sh,42.534504,36.25
skills_sh,42.659975,36.25
skills_sh,42.785445,36.25
skills_sh,42.910916,36.25
skills_sh,43.036386,36.5
skills_sh,43.161857,36.5
skills_sh,43.287327,36.5
skills_sh,43.412798,37.0
skills_sh,43.538269,37.0
skills_sh,43.663739,37.0
skills_sh,43.78921,37.0
skills_sh,43.91468,37.0
skills_sh,44.040151,37.0
skills_sh,44.165621,37.0
skills_sh,44.291092,37.0
skills_sh,44.416562,37.0
skills_sh,44.542033,37.0
skills_sh,44.667503,37.75
skills_sh,44.792974,37.75
skills_sh,44.918444,37.75
skills_sh,45.043915,37.75
skills_sh,45.169385,37.75
skills_sh,45.294856,37.75
skills_sh,45.420326,37.75
skills_sh,45.545797,37.75
skills_sh,45.671267,37.75
skills_sh,45.796738,37.75
skills_sh,45.922208,37.75
skills_sh,46.047679,37.75
skills_sh,46.173149,37.75
skills_sh,46.29862,37.75
skills_sh,46.42409,37.75
skills_sh,46.549561,37.75
skills_sh,46.675031,37.75
skills_sh,46.800502,37.75
skills_sh,46.925972,37.75
skills_sh,47.051443,37.75
skills_sh,47.176913,37.75
skills_sh,47.302384,37.75
skills_sh,47.427854,37.75
skills_sh,47.553325,37.75
skills_sh,47.678795,37.75
skills_sh,47.804266,37.75
skills_sh,47.929737,37.75
skills_sh,48.055207,37.75
skills_sh,48.180678,38.25
skills_sh,48.306148,38.25
skills_sh,48.431619,38.25
skills_sh,48.557089,38.25
skills_sh,48.68256,38.5
skills_sh,48.80803,38.75
skills_sh,48.933501,38.75
skills_sh,49.058971,38.75
skills_sh,49.184442,38.75
skills_sh,49.309912,38.75
skills_sh,49.435383,38.75
skills_sh,49.560853,38.75
skills_sh,49.686324,38.75
skills_sh,49.811794,38.75
skills_sh,49.937265,38.75
skills_sh,50.062735,38.75
skills_sh,50.188206,38.75
skills_sh,50.313676,38.75
skills_sh,50.439147,38.75
skills_sh,50.564617,38.75
skills_sh,50.690088,38.75
skills_sh,50.815558,38.75
skills_sh,50.941029,38.75
skills_sh,51.066499,38.75
skills_sh,51.19197,38.75
skills_sh,51.31744,38.75
skills_sh,51.442911,38.75
skills_sh,51.568381,38.75
skills_sh,51.693852,38.75
skills_sh,51.819322,39.25
skills_sh,51.944793,39.25
skills_sh,52.070263,39.25
skills_sh,52.195734,39.25
skills_sh,52.321205,39.25
skills_sh,52.446675,39.25
skills_sh,52.572146,39.25
skills_sh,52.697616,39.25
skills_sh,52.823087,39.25
skills_sh,52.948557,39.25
skills_sh,53.074028,39.25
skills_sh,53.199498,39.25
skills_sh,53.324969,39.25
skills_sh,53.450439,39.25
skills_sh,53.57591,39.5
skills_sh,53.70138,39.5
skills_sh,53.826851,39.75
skills_sh,53.952321,39.75
skills_sh,54.077792,39.75
skills_sh,54.203262,39.75
skills_sh,54.328733,39.75
skills_sh,54.454203,39.75
skills_sh,54.579674,39.75
skills_sh,54.705144,39.75
skills_sh,54.830615,39.75
skills_sh,54.956085,39.75
skills_sh,55.081556,39.75
skills_sh,55.207026,39.75
skills_sh,55.332497,39.75
skills_sh,55.457967,39.75
skills_sh,55.583438,39.75
skills_sh,55.708908,39.75
skills_sh,55.834379,39.75
skills_sh,55.959849,40.0
skills_sh,56.08532,40.0
skills_sh,56.21079,40.25
skills_sh,56.336261,40.25
skills_sh,56.461731,40.25
skills_sh,56.587202,40.25
skills_sh,56.712673,40.25
skills_sh,56.838143,40.25
skills_sh,56.963614,40.25
skills_sh,57.089084,40.25
skills_sh,57.214555,40.25
skills_sh,57.340025,40.25
skills_sh,57.465496,40.5
skills_sh,57.590966,40.5
skills_sh,57.716437,41.0
